k,psiUnw,sUsed,v_cmd
1,0.41839505000659,11.9999999999998,3.80359136369627
2,0.41839505000659,0.999999999999979,3.80359136369627
3,0.41839505000659,0.999999999999979,3.80359136369627
4,0.41839505000659,0.999999999999979,3.80359136369627
5,0.41839505000659,0.999999999999979,3.80359136369627
6,0.456430963643553,1.00000000000015,3.80359136369627
7,0.494466877280516,1.00000000000016,3.80359136369627
8,0.532502790917478,1.00000000000016,3.80359136369627
9,1.00832064108859,9.00000000000141,5.28686500190123
10,1.0611892911076,1.00000000000016,5.28686500190123
11,1.61207556169854,8.99999999999928,6.88607838238679
12,1.90413640512019,4.99999999999901,7.30152108554104
13,1.90413640512019,0.999999999999801,7.30152108554104
14,1.90413640512019,0.999999999999801,7.30152108554104
15,1.90413640512019,0.999999999999801,7.30152108554104
16,1.90413640512019,0.999999999999801,7.30152108554104
17,1.90413640512019,0.999999999999801,7.30152108554104
18,1.90413640512019,0.999999999999801,7.30152108554104
19,1.90413640512019,0.999999999999801,7.30152108554104
20,1.90413640512019,0.999999999999801,7.30152108554104
21,1.90413640512019,0.999999999999801,7.30152108554104
22,1.90413640512019,0.999999999999801,7.30152108554104
23,1.90413640512019,0.999999999999801,7.30152108554104
24,1.90413640512019,0.999999999999801,7.30152108554104
25,1.90413640512019,0.999999999999801,7.30152108554104
26,1.90413640512019,0.999999999999801,7.30152108554104
27,1.90413640512019,0.999999999999801,7.30152108554104
28,1.90413640512019,0.999999999999801,7.30152108554104
29,1.90413640512019,0.999999999999801,7.30152108554104
30,1.90413640512019,0.999999999999801,7.30152108554104
31,1.90413640512019,0.999999999999801,7.30152108554104
32,1.90413640512019,0.999999999999801,7.30152108554104
33,1.90413640512019,0.999999999999801,7.30152108554104
34,1.9771516159756,1.00000000000051,7.30152108554104
35,2.05016682683101,1.00000000000051,7.30152108554104
36,2.12318203768642,1.00000000000051,7.30152108554104
37,2.19626152994927,1.00000000000051,7.30794922628513
38,2.26934102221212,1.00000000000051,7.30794922628513
39,2.34242051447497,1.00000000000051,7.30794922628513
40,2.41550000673782,1.00000000000051,7.30794922628513
41,2.48857949900067,1.00000000000051,7.30794922628513
42,2.56165899126353,1.00000000000051,7.30794922628513
43,2.63473848352638,1.00000000000051,7.30794922628513
44,2.7774269548071,2.00000000000102,7.1344235640359
45,2.84877119044745,1.00000000000051,7.1344235640359
46,2.92011542608781,1.00000000000051,7.1344235640359
47,2.99145966172817,1.00000000000051,7.1344235640359
48,3.06280389736853,1.00000000000051,7.1344235640359
49,3.13414813300889,1.00000000000051,7.1344235640359
50,3.20549236864925,1.00000000000051,7.1344235640359
51,3.67243632638125,8.00000000000409,5.83679947165005
52,3.99092825951045,6.00000000000307,5.30819888548657
53,4.04401024836531,1.00000000000051,5.30819888548657
54,4.09709223722018,1.00000000000051,5.30819888548657
55,4.15017422607504,1.00000000000051,5.30819888548657
56,4.20325621492991,1.00000000000051,5.30819888548657
57,4.52989054453734,11.0000000000056,2.96940299643121
58,4.55958457450165,1.00000000000051,2.96940299643121
59,4.58927860446596,1.00000000000051,2.96940299643121
60,4.61897263443028,1.00000000000051,2.96940299643121
61,4.64866666439459,1.00000000000051,2.96940299643121
62,4.6783606943589,1.00000000000051,2.96940299643121
63,4.70805472432321,1.00000000000051,2.96940299643121
64,4.73774875428752,1.00000000000051,2.96940299643121
65,4.86985854319114,4.00000000000205,3.30274472259049
66,4.90288599041705,1.00000000000051,3.30274472259049
67,4.93591343764295,1.00000000000051,3.30274472259049
68,4.96894088486886,1.00000000000051,3.30274472259049
69,5.00196833209476,1.00000000000051,3.30274472259049
70,5.03499577932067,1.00000000000051,3.30274472259049
71,5.06802322654657,1.0000000000005,3.30274472259049
72,5.06802322654657,0.999999999999091,3.30274472259049
73,5.06802322654657,0.999999999999091,3.30274472259049
74,5.06802322654657,0.999999999999091,3.30274472259049
75,5.06802322654657,0.999999999999091,3.30274472259049
76,5.06802322654657,0.999999999999091,3.30274472259049
77,5.06802322654657,0.999999999999091,3.30274472259049
78,5.06802322654657,0.999999999999091,3.30274472259049
79,5.06802322654657,0.999999999999091,3.30274472259049
80,5.06802322654657,0.999999999999091,3.30274472259049
81,5.06802322654657,0.999999999999091,3.30274472259049
82,5.06802322654657,0.999999999999091,3.30274472259049
83,5.06802322654657,0.999999999999091,3.30274472259049
84,5.06802322654657,0.999999999999091,3.30274472259049
85,5.06802322654657,0.999999999999091,3.30274472259049
86,5.06802322654657,0.999999999999091,3.30274472259049
87,5.06802322654657,0.999999999999091,3.30274472259049
88,5.06802322654657,0.999999999999091,3.30274472259049
89,5.06802322654657,0.999999999999091,3.30274472259049
90,5.06802322654657,0.999999999999091,3.30274472259049
91,5.06802322654657,0.999999999999091,3.30274472259049
92,5.06802322654657,0.999999999999091,3.30274472259049
93,5.06802322654657,0.999999999999091,3.30274472259049
94,5.06802322654657,0.999999999999091,3.30274472259049
95,5.06802322654657,0.999999999999091,3.30274472259049
96,5.06802322654657,0.999999999999091,3.30274472259049
97,5.06802322654657,0.999999999999091,3.30274472259049
98,5.06802322654657,0.999999999999091,3.30274472259049
99,5.06802322654657,0.999999999999091,3.30274472259049
100,5.06802322654657,0.999999999999091,3.30274472259049
101,5.06802322654657,0.999999999999091,3.30274472259049
102,5.06802322654657,0.999999999999091,3.30274472259049
103,5.06802322654657,0.999999999999091,3.30274472259049
104,5.06802322654657,0.999999999999091,3.30274472259049
105,5.06802322654657,0.999999999999091,3.30274472259049
106,5.06802322654657,0.999999999999091,3.30274472259049
