WindKind,Policy,ExcessMean,ExcessMax,MaxAccelUsed,Steps,EnergyOn
const,openloop,6.86390649957309,6.86390649957309,0,80,1
const,est,7.44815420614268,7.53865899391446,2,80,1
const,qnewton,6.42721772254132,6.75210662153509,2,80,1
const,windinfer,2.64525846367758,2.66059197328102,2,80,1
const,known,0.243739379267163,0.243739379267163,2,80,1
const,tracker,8.2695172883382,8.45099268872185,2,80,1
const,esc,5.13009085832775,5.22658226700917,2,80,1
const,spsa,6.52796206209881,6.64620003161852,2,80,1
const,bayes,9.75256662945884,10.2420833406111,2,80,1
const,gtrack,7.8699234870424,8.65610942681856,2,80,1
sin,openloop,7.11125617227159,7.11125617227159,0,80,1
sin,est,7.31039467821818,7.75590555005725,2,80,1
sin,qnewton,7.14008328931484,7.47354761368639,2,80,1
sin,windinfer,4.17173229745126,4.19663794300364,2,80,1
sin,known,0.304321972214557,0.304321972214557,2,80,1
sin,tracker,7.78158918618429,8.02082170392996,2,80,1
sin,esc,6.51259335104359,8.47998710020437,2,80,1
sin,spsa,7.1227999496197,7.16177609763536,2,80,1
sin,bayes,12.2599436367437,13.180536859595,2,80,1
sin,gtrack,7.68436879169832,7.75728712231414,2,80,1
square,openloop,7.23294721417973,7.23294721417973,0,80,1
square,est,6.8243839173133,6.95758557940114,2,80,1
square,qnewton,7.11884620322414,7.24956591292154,2,80,1
square,windinfer,5.45896402361962,5.70938837713349,2,80,1
square,known,0.326620427348602,0.326620427348602,2,80,1
square,tracker,8.16447106820163,8.35483984620914,2,80,1
square,esc,5.93816337939539,7.95002147066351,2,80,1
square,spsa,7.48596653086142,7.55257768708882,2,80,1
square,bayes,8.70182549971946,11.0703670161211,2,80,1
square,gtrack,7.05514903139357,7.92801340011407,2,80,1
triangle,openloop,7.03984102386431,7.03984102386431,0,80,1
triangle,est,7.48894440717643,8.04124831000838,2,80,1
triangle,qnewton,7.36890739454477,7.47585225919284,2,80,1
triangle,windinfer,4.18951666704673,4.342808379769,2,80,1
triangle,known,0.296745600683243,0.296745600683243,2,80,1
triangle,tracker,8.16270159774756,8.22925105196328,2,80,1
triangle,esc,6.37685411948229,8.28300506730949,2,80,1
triangle,spsa,6.94497697767343,7.01426014753371,2,80,1
triangle,bayes,13.0308906864319,14.7989387317172,2,80,1
triangle,gtrack,8.06796470583289,8.50905768240777,2,80,1
turb,openloop,6.86390649957309,6.86390649957309,0,80,1
turb,est,7.44815420614268,7.53865899391446,2,80,1
turb,qnewton,6.42721772254132,6.75210662153509,2,80,1
turb,windinfer,2.64525846367758,2.66059197328102,2,80,1
turb,known,0.243739379267163,0.243739379267163,2,80,1
turb,tracker,8.2695172883382,8.45099268872185,2,80,1
turb,esc,5.13009085832775,5.22658226700917,2,80,1
turb,spsa,6.52796206209881,6.64620003161852,2,80,1
turb,bayes,9.75256662945884,10.2420833406111,2,80,1
turb,gtrack,7.8699234870424,8.65610942681856,2,80,1
composite,openloop,7.15805366713257,7.26001262405569,0,80,1
composite,est,7.10032930172098,7.20072801374331,2,80,1
composite,qnewton,7.4334902684323,7.57184527265431,2,80,1
composite,windinfer,5.28080893568335,5.53673931509632,2,80,1
composite,known,0.493163228822081,0.494889367198819,2,80,1
composite,tracker,7.69603752063253,8.21906044374627,2,80,1
composite,esc,6.464381297219,8.00561571227667,2,80,1
composite,spsa,7.22090722397331,7.28433875330832,2,80,1
composite,bayes,13.4027745413219,14.9250624518887,2,80,1
composite,gtrack,7.31873867535189,8.41133369625658,2,80,1
sector,openloop,6.44110113340012,6.44110113340012,0,80,1
sector,est,6.9888583188877,7.09643652629833,2,80,1
sector,qnewton,6.80334327705141,6.85224450290336,2,80,1
sector,windinfer,3.6673346938039,3.7757647007993,2,80,1
sector,known,0.265540858070857,0.265540858070857,2,80,1
sector,tracker,6.45029027576867,6.55027025149339,2,80,1
sector,esc,5.9939222940668,7.1183947666054,2,80,1
sector,spsa,6.6165955013421,6.64430011452364,2,80,1
sector,bayes,9.76225050087199,10.4933421034955,2,80,1
sector,gtrack,7.59593768217837,7.91984276149083,2,80,1
