WindKind,Policy,MOE_energy,EnergyExcessPercent,ExcessStd,WindErrMean,Steps
zero,openloop,1,0,0,NaN,600
zero,est,0.914440231005765,9.35652216618585,0.0284815861005514,NaN,600
zero,qnewton,0.988557179741225,1.1576126936122,0.131359835291658,NaN,600
zero,windinfer,0.999045024399333,0.0955929996074766,0.0288392006354496,0.17482923001261,600
zero,known,1,0,0,NaN,600
const,openloop,0.939854100641179,6.39949321046629,0,NaN,600
const,est,0.937035458467998,6.71965416500994,0.15097565478671,NaN,600
const,qnewton,0.943407725064711,5.99909402357178,0.286060260829743,NaN,600
const,windinfer,0.994853571500481,0.517308395986679,0.0256481195142257,0.0900487287262731,600
const,known,0.998836109177094,0.116524704324576,0,NaN,600
vary,openloop,0.954514763416076,4.76527530233624,0.0207923022770703,NaN,600
vary,est,0.927249785019203,7.84833654444079,0.738870588372933,NaN,600
vary,qnewton,0.937037890899949,6.72361439705639,0.962925975140513,NaN,600
vary,windinfer,0.965499096203142,3.57348798322033,0.152951278113541,1.24160331947241,600
vary,known,0.996677148361101,0.333392979369993,0.000120576345955159,NaN,600
