WindKind,Policy,CurveCase,MOE_energy,EnergyExcessPercent,ExcessStd,MaxAccelUsed,Steps
sin,openloop,0.95,0.955461091810899,4.66150935614613,0,0,400
sin,openloop,0.9,0.946741721250749,5.6254285148531,0,0,400
sin,openloop,0.85,0.937182969210463,6.70274992752569,0,0,400
sin,qnewton,0.95,0.956367683890538,4.56280779071973,0.283788651138683,2,400
sin,qnewton,0.9,0.946703519301341,5.62979147087563,0.126268321265161,2,400
sin,qnewton,0.85,0.931623385799697,7.34240355725092,0.683180486859485,2,400
sin,known,0.95,0.997963942404754,0.204021158353683,3.3993498887763e-17,2,400
sin,known,0.9,0.997802901179731,0.220193669277948,0,2,400
sin,known,0.85,0.99762297542315,0.238268828546362,0,2,400
composite,openloop,0.95,0.955702610283116,4.63508586130902,0.0636650586458062,0,400
composite,openloop,0.9,0.946990440478385,5.59772074267832,0.073243671381772,0,400
composite,openloop,0.85,0.937439394037858,6.67360678656174,0.0839566809013289,0,400
composite,qnewton,0.95,0.955482341366261,4.66065027284537,0.480628508330448,2,400
composite,qnewton,0.9,0.943107977310153,6.03347525963757,0.413978970592712,2,400
composite,qnewton,0.85,0.932049953397443,7.29132049089415,0.38737286464413,2,400
composite,known,0.95,0.996143332268934,0.387161993720535,0.0176693961233278,2,400
composite,known,0.9,0.995851749362572,0.416555469795054,0.0191692305912417,2,400
composite,known,0.85,0.995526064871376,0.449407001878435,0.0208457205289259,2,400
sector,openloop,0.95,0.953035626225274,4.92787179013858,0,0,400
sector,openloop,0.9,0.944821162428878,5.84013565374337,0,0,400
sector,openloop,0.85,0.935806266594291,6.85972467777242,1.08779196440841e-15,0,400
sector,qnewton,0.95,0.952291590593697,5.01048814670584,0.316512888010692,2,400
sector,qnewton,0.9,0.934191860589043,7.04477437479216,0.247538981541182,2,400
sector,qnewton,0.85,0.919510985219346,8.75382416338939,0.244304640177218,2,400
sector,known,0.95,0.998828668413792,0.117270521286478,1.69967494438815e-17,2,400
sector,known,0.9,0.998746206936867,0.125536703361178,0,2,400
sector,known,0.85,0.99865406022097,0.134775377444699,0,2,400
